id,created_at,text
766010807096258560,2016-08-17 20:36:22,"b""If pure anxiety was an Olympic sport, I'd feel really fucking anxious about all the gold medals I just won like a BOSS."""
765902589057699840,2016-08-17 13:26:21,"b'""At some point, you\'ll rest in an unvisited grave of twigs and spit.""\n\n-- rejected fortune cookie.'"
765895486586970112,2016-08-17 12:58:08,"b'My daughter love the @MileyCyrus song, ""We Can\'t Stop"" because she thinks it\'s about cutting the brake lines on my car.'"
765617210404507649,2016-08-16 18:32:22,b'Canada is considering leaving North America.  https://t.co/4ue1D52vE6'
765616303017164804,2016-08-16 18:28:45,"b""Sorry to miss it. Just washing Kirk Cameron's feet with liquid prayer. https://t.co/6YdnngAjdQ"""
765604397606899713,2016-08-16 17:41:27,"b'They should call ""fighting pits"" something else because my baby just plays with the other babies.'"
765602939578753024,2016-08-16 17:35:39,b'https://t.co/M8yaf2NAQT'
765428383673118721,2016-08-16 06:02:02,"b""I don't make rules, but politicians shouldn't be able to eat a steak without chewing, or laugh for a full hour without inhaling or blinking."""
765239769077051392,2016-08-15 17:32:33,"b'My Bikram Yoga instructor @amyschumer wrote a book, ""The Girl with the Lower Back Tattoo"" get it here https://t.co/Nr5kmYPZQa'"
764524394089738240,2016-08-13 18:09:54,"b'Japan: I came, I saw, I came again. Pre-order the Japanese Blu-ray of #Deadpool with exclusive postcards right meow! https://t.co/Swn0n68KGL'"
763477373111115779,2016-08-10 20:49:25,"b'Put the baby down in her crib tonight. She scrunched her nose so cute, giggled, then turned into thousands of bats.'"
763461948092579840,2016-08-10 19:48:07,b'Great book. Great Canadian. @Cmdr_Hadfield https://t.co/LH0LjeWXFK'
763261581304135680,2016-08-10 06:31:56,b'Tough call. Continue watching election coverage - or tickle fight with a starving adult lion.'
762713685739593729,2016-08-08 18:14:47,"b""RT @MJCKayne: .@VancityReynolds my daughter just turned 4 and didn't get what she wanted for her birthday \xf0\x9f\x98\xb6. https://t.co/cY3KYQ9OJG"""
762288981576908800,2016-08-07 14:07:10,"b'No matter which kids book I read to my screaming baby on an airplane, the moral of the story is always something about a vasectomy.'"
762283706673496064,2016-08-07 13:46:12,"b""No, I'm in Washington D.C. trying to broker real change. https://t.co/rGbYvUb7ak"""
762277202129985536,2016-08-07 13:20:22,b'Crime sprees would be so much funnier if your get-a-way vehicle was Hodor from Game of Thrones.'
761275566033084416,2016-08-04 19:00:13,"b""Pretty sure it's my wife writing most of those. Sounds like her.  https://t.co/V8wnAo19az"""
761140222818127872,2016-08-04 10:02:25,b'Just trying to finish this charcoal sketch of The Last Supper.  https://t.co/if2ANSnUMQ'
761120966617346048,2016-08-04 08:45:54,"b""Finally saw Batman V Superman. I misunderstood the marketing because this wasn't a celebrity sex tape."""
760907880879063040,2016-08-03 18:39:10,b'RT @deadpoolmovie: #MyOlympicSportWouldBe Ultimate Frisbee https://t.co/2aOlABSYjq'
760761439254679554,2016-08-03 08:57:16,b'https://t.co/c85bwyKQzU'
760143369096007680,2016-08-01 16:01:16,"b""My neighbors' safe-word is, Hufflepuff. I only know this because I happened to jog past their bedroom window for an hour."""
760137482025435136,2016-08-01 15:37:53,b'Healthy Parenting Tip No. 34:  Get the child into showbiz as soon as possible.'
759800498501193729,2016-07-31 17:18:49,"b""Boys... It's just a milkshake. Get outta my fucking yard."""
759124132311207937,2016-07-29 20:31:11,"b'.@Refinery29 - You changed only three words. And two of them, were my name. At least buy me dinner first. https://t.co/7GkxGgfxP1'"
759080121479393280,2016-07-29 17:36:18,"b'Sorry, just trying to get this wild dolphin untangled from fishing line.  https://t.co/V87mdbBSCI'"
756508769459331072,2016-07-22 15:18:40,"b""Jokes on you. We're not teaching her to read. Boom.  https://t.co/gwGgx7pNQQ"""
756501725104701441,2016-07-22 14:50:41,"b'Being a father is the single greatest feeling on earth. Not including those wonderful years I spent without a child, of course.'"
756499966294712320,2016-07-22 14:43:41,"b'Yes. Let\'s make America ""just okay"" again.  https://t.co/IqnbHIvOvo'"
756324799966744577,2016-07-22 03:07:38,b'RT @CovHousePrez: .@blakelively thanks for your generous gift to @CovenantHouse &amp; the love you showed our kids. So grateful https://t.co/xl\xe2\x80\xa6'
756231041522798592,2016-07-21 20:55:05,b'Just saying goodbye to my Nana. Any moment now. #WithTheAngelsSoon  https://t.co/HUGYvDMi6h'
756145042306297856,2016-07-21 15:13:21,"b""Day 47. He makes me draw things. I'm cold. He's yelling again.  I'm so scared.\n\nDay 48. Jesus, this man can dance. https://t.co/TLOlRE1lfC"""
755559592109678593,2016-07-20 00:26:59,"b'If doing a kilo of prayer, then watching every episode of Touched By An Angel means I do drugs. Then sure. https://t.co/jKKOYEe9OR'"
755559424257908736,2016-07-20 00:26:19,"b""RT @Skydance: Production begins on \xe2\x80\x98Life' Starring #JakeGyllenhaal, #RebeccaFerguson And @VancityReynolds https://t.co/5x5iLMPCof https://t\xe2\x80\xa6"""
755136866001772546,2016-07-18 20:27:13,"b""Oops, I'm just helping my Nana take her diabetes medication right now.  https://t.co/F7k4DNgnzp"""
755039141910417408,2016-07-18 13:58:54,b'Finally doing something constructive with my right hand. Get a limited signed Deadpool Blu-ray only at #SDCC2016 https://t.co/o342OurIJn'
754705641084751874,2016-07-17 15:53:41,"b'Apology accepted, Delaney.  https://t.co/OhszvsatjJ'"
754683403153399808,2016-07-17 14:25:19,"b""My infant daughter's traumatized for life. 50 Shades of Grey = Worst fucking coloring book ever."""
754106668317831168,2016-07-16 00:13:35,"b""Weirdest thing about drinking a 52 ounce Big Gulp from 7-11, isn't the enormous sugar rush, but the fact you go straight to Hell."""
752499865825976321,2016-07-11 13:48:43,"b'Sorry, just holding my infant niece in my arms for her baptism right now.  https://t.co/hSO1BprQYH'"
752492894922084352,2016-07-11 13:21:01,"b""Psyched to see this. Here are some of the funniest women on earth. You're welcome.  https://t.co/bdGdzWQ54b"""
752483336539570176,2016-07-11 12:43:02,"b'Don, this totally worked for me. My legs are toned AND silky-smooth for days. Is it reversible? DM me. https://t.co/tRbDFnobzW'"
752232598970175488,2016-07-10 20:06:42,"b""I'm waiting until she's 6 months ago.  https://t.co/KYIOKvufD5"""
752232487515000832,2016-07-10 20:06:15,"b'RT @robdelaney: As long as there are Millennials to help, I will Never #LogOff.'"
752132229099298816,2016-07-10 13:27:52,"b""I just got done releasing a dozen white doves from my pants while watching a wedding. We're like the same person. https://t.co/smPo0VjTv7"""
752121721675800576,2016-07-10 12:46:06,"b""For what it's worth, I've never been formally introduced to myself either. \n\nLinda? Am I still there?  https://t.co/f2yrpzlhEX"""
751179967698964484,2016-07-07 22:23:55,"b'During a full moon, sure.  https://t.co/l5fVW7GYzD'"
750826818257752064,2016-07-06 23:00:37,b'Thanks Dad.  https://t.co/Txnx7o2rrg'
750736278228992000,2016-07-06 17:00:51,"b'If people are gross enough to send dick pics, at least have the courage to use a face-swapping app.'"
750735818516471808,2016-07-06 16:59:01,"b""If you're lucky enough to be in a town showing @wilderpeople, treat your eyes and ears to this beautiful film. https://t.co/NT06YrI1bg"""
749971940119547904,2016-07-04 14:23:38,b'Everything that happens in high school will always matter. Always. https://t.co/zlMGHhyRGF'
749966020413104128,2016-07-04 14:00:07,"b""I'm currently lost in prayer. Maybe later.  https://t.co/88kUQfdLZx"""
749964213867704320,2016-07-04 13:52:56,"b""The Founding Fathers would be stoked to know we had a Scurvy-free MTV Awards this year. Also, Epcot. They'd be impressed with Epcot Center."""
